Payment History,Credit Utilization Ratio,Number of Credit Accounts,Education Level,Employment Status
63,0.27108994143296705,4,High School,Employed
66,11.669606414168133,2,Master,Unemployed
85,47.31662010518922,10,PhD,Employed
99,60.61018810558386,9,High School,Employed
89,79.42894499664625,2,High School,Self-Employed
53,10.669925011343606,9,High School,Unemployed
51,85.07274600164547,13,High School,Employed
55,74.59745255487181,6,High School,Unemployed
91,40.85182929359169,1,High School,Unemployed
53,93.29380670999547,4,PhD,Self-Employed
78,99.09294764573906,14,Master,Unemployed
67,20.500181005323725,1,High School,Self-Employed
75,37.922858496380044,14,Bachelor,Employed
93,92.64494235897112,6,PhD,Unemployed
83,72.15965507512772,14,PhD,Employed
59,4.809464396408769,13,High School,Unemployed
85,78.1514481751415,4,PhD,Employed
63,82.79408871774919,3,High School,Unemployed
80,75.05019247653135,3,Master,Unemployed
97,79.95371309195156,9,Master,Unemployed
64,82.51326766927973,6,PhD,Unemployed
57,18.64049867881441,9,PhD,Unemployed
63,23.569174606499978,13,Bachelor,Unemployed
72,63.37585637201772,5,PhD,Unemployed
89,90.7866130462516,2,Bachelor,Unemployed
70,31.61965822964946,8,Master,Unemployed
65,58.83066757950567,5,Master,Employed
94,68.29820634171324,2,High School,Self-Employed
67,45.19486012990392,4,Master,Unemployed
96,71.3782454855326,9,Bachelor,Self-Employed
73,89.96674452921731,4,PhD,Unemployed
75,62.41015441818376,13,High School,Unemployed
74,53.978106191463304,12,Bachelor,Employed
94,43.874467538833905,12,PhD,Employed
90,57.74862709061257,12,High School,Self-Employed
78,35.53624518183959,13,Master,Employed
64,39.14821102015019,14,Bachelor,Employed
94,53.185747968817395,4,PhD,Self-Employed
50,6.661911239081697,2,High School,Employed
74,22.902539092479635,13,High School,Unemployed
56,54.28493106134089,12,Master,Self-Employed
58,43.152814313644264,6,PhD,Self-Employed
73,33.281578591248426,13,Master,Unemployed
50,73.05491368093014,11,Master,Employed
93,69.37176074033384,14,PhD,Self-Employed
57,16.673075999338316,2,PhD,Self-Employed
73,87.86291153734382,12,PhD,Unemployed
60,49.54236264039656,7,Bachelor,Unemployed
100,74.14609111390455,3,PhD,Employed
66,57.315084925738866,3,High School,Self-Employed
57,99.76926159238432,5,Master,Employed
84,75.24031200388227,3,Bachelor,Employed
84,70.69804612434591,2,PhD,Unemployed
82,77.8571939050751,10,Bachelor,Self-Employed
54,14.312798554846962,9,PhD,Self-Employed
91,20.454459316946327,2,Bachelor,Self-Employed
88,71.40640822236142,14,Master,Unemployed
90,49.398148713086265,11,Master,Unemployed
77,75.46352918601166,2,High School,Unemployed
56,10.291603074414502,13,High School,Unemployed
58,53.648135148459474,8,PhD,Unemployed
57,37.88215655569157,9,Master,Self-Employed
61,45.700021928167835,7,Bachelor,Employed
83,60.39578720725125,3,Bachelor,Self-Employed
82,50.228834746253014,9,Bachelor,Employed
97,53.98606371128367,3,High School,Unemployed
72,48.63574819956078,5,Bachelor,Employed
73,40.89551770854932,9,High School,Self-Employed
86,77.18819805982451,12,High School,Self-Employed
84,1.2203072318044517,14,PhD,Employed
93,59.8442701205227,14,Bachelor,Unemployed
89,56.55083473229738,3,Bachelor,Unemployed
71,71.61790747329522,7,Master,Self-Employed
76,59.90293647773265,12,PhD,Employed
84,82.67988278090783,1,Master,Unemployed
50,95.90747945640278,4,PhD,Unemployed
84,34.25242571785434,4,Bachelor,Self-Employed
86,22.7350983029987,7,High School,Unemployed
96,42.35968624204829,8,High School,Employed
63,28.79296164757261,1,High School,Self-Employed
52,61.49502631526544,5,High School,Self-Employed
50,91.18524088429648,7,High School,Employed
54,13.911619414306188,12,Master,Self-Employed
75,10.07946030158865,4,PhD,Unemployed
63,25.60155318536622,13,Bachelor,Unemployed
88,72.60955860624007,4,Master,Employed
76,59.296290525882156,4,PhD,Unemployed
58,10.221266422519959,12,High School,Employed
64,91.87505222607464,6,PhD,Employed
64,79.00846371240867,7,PhD,Unemployed
75,2.3022604787637513,2,High School,Employed
91,65.13672109882461,5,High School,Unemployed
62,77.1246668519738,4,High School,Self-Employed
100,37.4435369720422,14,Bachelor,Self-Employed
81,6.892153936721879,13,High School,Employed
88,7.7321065488787255,3,Bachelor,Unemployed
98,10.42469660518095,7,High School,Unemployed
81,84.04396319804229,11,Bachelor,Self-Employed
53,91.0686198255713,12,PhD,Self-Employed
79,12.28107818457338,6,Master,Unemployed
86,23.59060345950812,14,PhD,Employed
72,16.552051036728976,7,PhD,Self-Employed
88,18.632087949412067,5,High School,Employed
94,83.7490789002492,13,Bachelor,Employed
64,33.214641265493896,6,Master,Self-Employed
92,31.14442640456412,5,High School,Employed
78,22.739562087711263,14,High School,Employed
85,60.78943937942587,7,High School,Unemployed
62,37.93056983855488,2,PhD,Employed
81,74.42496518432888,14,Bachelor,Unemployed
56,20.55798083756375,11,Bachelor,Self-Employed
100,78.77898887144924,5,Master,Self-Employed
71,60.3721531730139,6,Bachelor,Unemployed
77,11.426730005568775,6,Bachelor,Self-Employed
51,41.450458420362764,5,High School,Employed
91,86.3518140612957,10,High School,Employed
94,92.29602317984849,7,PhD,Employed
55,46.57001223188132,10,High School,Self-Employed
77,48.08369780890735,8,High School,Employed
77,91.84547249393012,7,High School,Self-Employed
93,58.706822413656724,5,High School,Employed
93,3.2846670243438347,1,PhD,Unemployed
69,91.27494628791288,13,High School,Self-Employed
79,24.822644275715188,5,Master,Self-Employed
60,57.76319540915472,10,Master,Employed
77,16.55133174279738,2,Master,Self-Employed
74,3.3879160246594986,13,Master,Self-Employed
88,31.14731711327574,5,High School,Unemployed
82,78.04957075460877,5,Master,Unemployed
50,27.75871726294181,2,High School,Employed
76,22.009721408109705,5,PhD,Unemployed
62,21.26807843412263,13,Master,Employed
90,51.51736824068126,4,Bachelor,Employed
52,97.55413156827562,1,Master,Employed
88,45.89889880170131,3,Master,Self-Employed
55,55.73053688900479,1,High School,Unemployed
57,86.06320178907339,12,Master,Employed
76,53.506971893365865,11,Bachelor,Unemployed
58,18.44628714188561,5,High School,Employed
86,29.959591176647706,4,High School,Unemployed
82,30.99369262686109,7,PhD,Unemployed
100,39.73181154575979,5,PhD,Employed
91,42.67889053367494,10,Master,Self-Employed
93,79.97820220742695,14,PhD,Unemployed
73,34.9386999049333,4,PhD,Self-Employed
64,46.82318284413793,2,PhD,Self-Employed
81,62.497598705105226,4,High School,Employed
81,37.77259474401693,12,High School,Employed
73,83.65648132923329,2,High School,Employed
90,58.74536042340743,8,PhD,Unemployed
98,29.404467922097155,3,High School,Employed
98,71.40591997898282,9,PhD,Employed
61,52.764773014478585,13,High School,Unemployed
88,53.44558912572469,4,High School,Unemployed
51,48.1087948387586,13,Bachelor,Employed
52,49.7011948821249,6,Master,Employed
98,76.53562810662406,10,PhD,Employed
86,10.298147933131553,5,Bachelor,Employed
98,33.43628113104822,10,High School,Self-Employed
66,7.550336380388922,13,PhD,Self-Employed
98,75.32462207474508,1,High School,Employed
51,27.230185472029945,9,Master,Self-Employed
51,89.74304098188843,1,Bachelor,Unemployed
77,52.65784666592938,8,Master,Self-Employed
72,80.0749771486121,9,Bachelor,Self-Employed
86,97.89314356159612,9,High School,Employed
81,83.97888594565705,1,Master,Self-Employed
82,86.69937600115234,2,Master,Self-Employed
50,40.79844953648447,12,High School,Self-Employed
68,55.172259525933974,13,Master,Self-Employed
51,25.38885640433043,1,PhD,Unemployed
93,19.61130996934528,10,Bachelor,Employed
75,50.550787910603376,2,Bachelor,Employed
81,59.50489797004206,10,Bachelor,Unemployed
55,33.9271245896191,12,PhD,Self-Employed
81,56.94435177635003,8,Bachelor,Unemployed
53,88.7460482513503,5,High School,Self-Employed
60,55.672158478336605,12,Master,Unemployed
66,72.08130963105066,11,PhD,Employed
87,80.53149673579051,7,Bachelor,Employed
73,98.87287819554427,2,High School,Employed
54,60.31974021769796,8,Master,Self-Employed
83,80.6850148962586,11,Master,Self-Employed
55,96.26493185548746,6,PhD,Unemployed
71,94.44097255772735,8,PhD,Unemployed
60,14.108184877771357,1,PhD,Employed
97,40.6392308273522,1,High School,Self-Employed
65,32.39900611067996,12,High School,Unemployed
82,8.692501495034932,7,PhD,Self-Employed
58,63.324077491096055,8,Bachelor,Self-Employed
55,73.59046131960024,13,Master,Employed
65,84.81280954668836,3,Master,Employed
78,12.27768896627085,5,High School,Self-Employed
52,87.64440758752939,12,Master,Self-Employed
69,64.29255636142533,1,Bachelor,Self-Employed
85,70.39461351385094,7,Master,Self-Employed
68,91.06240035403039,5,High School,Employed
75,62.47612710432511,8,High School,Unemployed
52,33.58658571498351,13,Bachelor,Employed
68,82.51073314226598,8,Bachelor,Unemployed
69,36.30592121950905,9,Master,Self-Employed
81,3.4228110820529123,7,Master,Unemployed
56,83.06545065652497,11,High School,Employed
90,34.51921448812756,1,Bachelor,Employed
82,77.38345232013403,13,Bachelor,Self-Employed
89,36.275789466594546,3,Bachelor,Employed
88,86.10680199747216,8,Master,Self-Employed
67,21.95105250809587,3,Bachelor,Employed
89,97.45472651988699,8,High School,Employed
50,77.97587747880308,1,High School,Self-Employed
60,11.423792592039684,5,Master,Unemployed
77,56.57766199665605,4,PhD,Employed
74,98.53673122417347,5,Master,Unemployed
99,47.10654526938144,8,PhD,Employed
72,18.210713882158323,10,Bachelor,Employed
80,48.47783671503462,14,Master,Employed
79,51.24576558819216,4,High School,Employed
91,74.16869442286655,11,Bachelor,Unemployed
84,69.88458531609044,4,High School,Unemployed
56,40.255004359698056,3,Bachelor,Employed
65,21.802310749408647,7,Master,Employed
75,64.50541677693295,3,PhD,Unemployed
97,42.17039345532818,12,Bachelor,Self-Employed
98,13.22762111253304,3,PhD,Self-Employed
51,90.05723012363856,11,Bachelor,Unemployed
50,69.12218576096544,10,High School,Employed
97,68.31838564454814,5,High School,Employed
61,82.25838759116739,5,Bachelor,Self-Employed
54,52.966167865508105,14,PhD,Self-Employed
86,81.5054428402457,6,Master,Unemployed
81,49.809075351100574,8,Master,Self-Employed
58,6.717539991571009,10,High School,Unemployed
90,40.524808802768874,6,Master,Self-Employed
84,49.74648939798906,12,High School,Self-Employed
68,72.02025816322958,1,Master,Self-Employed
97,10.657873012867435,8,Bachelor,Employed
65,14.0018538660449,8,High School,Employed
52,26.368380263461646,9,High School,Employed
69,26.64983933708822,9,Bachelor,Self-Employed
73,73.21845784590624,2,High School,Unemployed
82,25.073066056159774,2,Master,Unemployed
73,63.30980633574475,3,Master,Unemployed
60,49.42738501382714,1,High School,Unemployed
98,57.32943781794007,4,Master,Employed
57,83.81069631782958,14,PhD,Employed
85,40.43815015490243,4,High School,Self-Employed
87,77.09113770642705,14,Bachelor,Self-Employed
89,42.20360595506874,9,PhD,Unemployed
69,35.38713765612494,9,High School,Employed
84,95.86271773132205,9,Bachelor,Unemployed
97,18.437092067896323,10,Master,Self-Employed
74,9.033696057760787,7,Bachelor,Self-Employed
84,77.09859255354785,14,PhD,Unemployed
74,6.824970535409158,2,Master,Self-Employed
78,83.70789907030294,10,High School,Unemployed
67,43.71933963572435,5,Master,Employed
95,91.5513677291914,4,High School,Unemployed
67,72.15328611219056,12,High School,Employed
51,61.04046670079576,11,Bachelor,Employed
84,94.93067970577657,8,Bachelor,Self-Employed
65,39.66493730520543,2,Bachelor,Self-Employed
90,95.40869365396331,6,PhD,Self-Employed
85,13.500127742120693,13,PhD,Unemployed
82,48.37549419324127,5,Bachelor,Unemployed
53,26.99112223921949,12,PhD,Self-Employed
82,53.98427789081934,2,Master,Unemployed
63,16.20138778915846,11,Master,Self-Employed
70,84.15296603100434,10,PhD,Unemployed
97,84.64078493145573,1,PhD,Employed
69,95.5236312723479,8,Master,Employed
57,15.467214088323622,2,High School,Self-Employed
56,62.33325509049907,7,Master,Unemployed
52,47.42373087003696,9,Master,Unemployed
66,34.43837320442332,9,PhD,Employed
82,35.15401611342188,8,Master,Employed
97,41.27935506067523,11,PhD,Self-Employed
61,70.4925549688953,14,PhD,Employed
100,59.82860582681546,12,Bachelor,Self-Employed
71,45.96815127611311,10,Master,Employed
71,7.593341036962209,9,High School,Employed
95,7.776534407895708,2,Bachelor,Unemployed
79,0.23393906257782593,6,PhD,Employed
87,96.76993882070865,4,PhD,Employed
87,0.5253818558384915,14,High School,Self-Employed
94,10.309374601374488,4,PhD,Employed
100,31.45965568094109,5,Master,Self-Employed
57,80.74302518167612,12,Bachelor,Employed
76,96.20987857641177,3,PhD,Employed
76,79.00135587918561,14,PhD,Self-Employed
83,69.05602324456406,1,High School,Unemployed
70,52.13006674135694,8,Master,Self-Employed
79,8.67052118621836,5,PhD,Self-Employed
82,95.81707930039303,3,High School,Self-Employed
77,75.83924139456815,10,PhD,Unemployed
96,63.894938533426185,14,High School,Employed
82,75.90358455388498,7,High School,Self-Employed
54,72.41033292731386,7,Master,Self-Employed
97,63.723157978948684,1,PhD,Unemployed
68,98.05768001799882,12,Master,Self-Employed
53,90.33638126360249,9,High School,Employed
84,64.66649191171634,2,Bachelor,Unemployed
98,69.31752114569247,5,PhD,Employed
66,5.159580665870999,13,Bachelor,Employed
93,66.99174645500392,14,PhD,Unemployed
77,4.4165437710100175,5,Master,Self-Employed
79,58.826375696993104,14,Master,Employed
78,99.93534995658348,8,Master,Employed
95,55.58065814371796,14,Master,Employed
55,47.32101180813334,8,Master,Employed
84,31.285485650558755,14,Bachelor,Unemployed
90,12.052257878646444,7,Master,Unemployed
86,73.10236714582817,7,High School,Employed
73,19.259902778563042,12,High School,Self-Employed
78,11.528202124728438,11,Bachelor,Employed
98,42.17626597305125,6,PhD,Self-Employed
95,79.53418379590974,6,High School,Employed
80,74.50645481202204,11,PhD,Self-Employed
84,5.4882614646474925,9,Bachelor,Employed
82,45.51436850361561,6,PhD,Self-Employed
70,52.243457607116895,12,PhD,Employed
81,64.45466506258222,13,PhD,Employed
72,65.01673504432281,13,PhD,Self-Employed
82,36.46972494573058,2,Bachelor,Unemployed
52,56.0677194003514,2,High School,Self-Employed
67,48.10618838440865,13,Master,Unemployed
74,88.4998356523281,5,PhD,Employed
91,53.02651326349002,4,High School,Self-Employed
80,44.10321617481616,11,High School,Self-Employed
52,40.448544968185075,2,Bachelor,Self-Employed
89,57.24277594334657,3,High School,Unemployed
95,80.39769794008976,7,Bachelor,Unemployed
73,53.840149038078756,8,PhD,Employed
99,66.16551750805415,12,PhD,Unemployed
81,73.7855766906525,13,Master,Unemployed
96,52.016810987873185,6,Master,Employed
71,42.68170566548643,11,Master,Self-Employed
72,87.66653778624494,5,High School,Self-Employed
51,41.75060840278921,13,PhD,Employed
76,46.19428505755876,1,Bachelor,Self-Employed
91,99.03413133417772,8,Master,Unemployed
51,0.02375235758845795,3,Bachelor,Employed
75,18.547290957672246,6,Bachelor,Employed
66,38.39638899197257,3,Master,Employed
89,93.25899094252529,7,PhD,Self-Employed
82,7.002970574747103,13,Master,Employed
58,0.9485433628498074,14,Bachelor,Employed
92,5.268383597722859,7,Master,Employed
97,8.854341061361815,12,Bachelor,Self-Employed
88,3.759677320626087,9,Bachelor,Unemployed
78,47.97813268565048,5,Master,Employed
91,58.07572072273277,8,High School,Unemployed
75,27.168697106900407,10,Master,Self-Employed
84,39.828738397563555,10,High School,Self-Employed
99,9.169933511143014,8,Bachelor,Self-Employed
74,33.63704638284221,1,Bachelor,Self-Employed
73,52.25191916345231,12,High School,Unemployed
62,73.22718071846451,5,Bachelor,Employed
56,0.3346362042979223,3,High School,Self-Employed
85,46.73107665376526,1,High School,Self-Employed
94,29.70028764548822,4,Bachelor,Unemployed
69,85.28218216919014,8,PhD,Unemployed
50,71.55533152342419,3,High School,Self-Employed
57,58.91085344708949,10,Master,Employed
95,27.726564569677357,2,Master,Employed
65,91.03391020575343,11,Bachelor,Self-Employed
63,4.510067722032318,9,PhD,Unemployed
61,10.946759867911515,10,Bachelor,Self-Employed
100,39.16301405403561,5,PhD,Self-Employed
72,12.443755729685634,14,High School,Unemployed
64,95.6415697559425,7,High School,Self-Employed
77,79.79893221433834,11,High School,Self-Employed
83,25.898265160181367,11,High School,Self-Employed
51,58.85542289732454,2,Master,Unemployed
81,98.23305150800816,9,Master,Employed
72,88.4198978131503,13,Bachelor,Employed
71,60.079844644219804,9,PhD,Unemployed
100,90.37239671752705,4,High School,Employed
74,98.91849098133589,4,High School,Self-Employed
71,74.33528228936241,6,PhD,Employed
71,6.4986409482894025,10,PhD,Self-Employed
98,40.15802364254875,10,Bachelor,Employed
91,83.78257352832455,10,PhD,Unemployed
55,23.0569195805019,6,High School,Employed
64,83.06425177506246,12,High School,Employed
92,12.033876203499593,1,High School,Employed
86,4.694535714781301,14,High School,Unemployed
82,38.40906114912496,14,High School,Employed
57,3.6731937426613626,9,Bachelor,Unemployed
93,95.72702629833256,2,High School,Self-Employed
93,82.62056957939659,5,Bachelor,Employed
54,80.07696871298751,9,High School,Unemployed
88,62.97779229961531,4,Master,Unemployed
53,21.63240230365535,11,Master,Employed
55,51.82603666763922,3,Master,Self-Employed
94,59.7274072430341,7,Master,Unemployed
81,52.50315008602682,6,Bachelor,Employed
79,26.02333679515273,8,Bachelor,Self-Employed
96,51.52479243147259,3,PhD,Unemployed
84,49.118634086862656,5,High School,Unemployed
89,99.63357758067242,10,Master,Self-Employed
65,89.74361480462039,4,Bachelor,Self-Employed
62,46.33807482156199,13,High School,Employed
99,62.29373829351187,4,High School,Employed
91,74.78716040922285,4,Bachelor,Unemployed
79,3.486516023382491,10,Master,Self-Employed
68,89.49214412278398,8,PhD,Self-Employed
66,86.01268164179238,6,High School,Self-Employed
68,45.74320977737073,3,PhD,Unemployed
77,39.11697660803798,10,Master,Self-Employed
75,27.295937485631494,5,Master,Self-Employed
86,47.66768283303684,6,PhD,Unemployed
75,4.437666353323677,5,Master,Employed
72,85.21935333470077,6,High School,Employed
58,3.542236841854507,8,PhD,Unemployed
61,32.9051365369871,7,Master,Self-Employed
50,93.158948831899,5,PhD,Unemployed
50,73.52126545234528,10,High School,Employed
96,28.139096057752678,6,Master,Employed
83,25.26490939608851,14,High School,Unemployed
81,0.5082139818025966,4,Master,Unemployed
97,69.57142928497501,12,Bachelor,Employed
74,4.878358167317309,9,Master,Unemployed
89,53.26025194007621,13,PhD,Employed
94,96.21219725920498,4,Master,Unemployed
50,10.94688600544539,1,High School,Unemployed
65,89.44799309680674,7,High School,Unemployed
88,99.14753351450481,7,Master,Employed
54,6.151702623923505,4,PhD,Unemployed
71,88.29062691374612,13,Bachelor,Employed
78,51.607902044361666,14,PhD,Employed
52,90.651371944458,3,Bachelor,Unemployed
61,57.131894191957414,8,High School,Unemployed
75,66.21120101065647,5,PhD,Employed
65,54.37789079973992,10,Bachelor,Employed
100,86.44928803073485,7,Master,Self-Employed
86,73.39099189537018,4,High School,Employed
71,52.12603121804149,4,Master,Self-Employed
78,86.8160804051547,8,High School,Self-Employed
63,24.528553225533457,14,PhD,Self-Employed
77,15.734065970252598,8,PhD,Unemployed
54,16.04001053300721,2,High School,Unemployed
96,33.40088787452379,14,High School,Employed
98,23.869003130101753,2,High School,Self-Employed
79,93.00903505097386,3,PhD,Unemployed
95,10.583409382858399,12,Bachelor,Unemployed
54,69.89907380395877,12,Master,Unemployed
61,18.92215397850059,3,Master,Unemployed
65,88.16371327703501,1,PhD,Unemployed
75,96.13152881849074,14,Master,Self-Employed
75,46.547000876998354,3,High School,Self-Employed
97,87.90714802281316,6,Bachelor,Self-Employed
70,0.5145170754714767,8,Master,Self-Employed
88,81.99469174081001,13,Bachelor,Employed
85,22.86251615249235,12,High School,Self-Employed
82,90.87013092693678,14,Master,Unemployed
79,0.11201114801094869,10,PhD,Self-Employed
86,55.6181735039757,6,Bachelor,Employed
72,75.66358037849346,5,High School,Unemployed
59,25.868833069790796,4,Bachelor,Self-Employed
54,19.313286458729305,3,Master,Self-Employed
85,8.409822446798465,13,Master,Self-Employed
83,32.6433576503293,4,PhD,Unemployed
80,55.98443123088295,14,High School,Unemployed
59,11.584385678025766,7,High School,Employed
68,37.66953619867988,1,PhD,Unemployed
81,0.9072404652724964,7,PhD,Unemployed
50,81.86794204998418,1,High School,Self-Employed
54,12.844871809319136,2,Bachelor,Unemployed
94,28.33429482655816,4,Bachelor,Self-Employed
53,1.842771873821747,1,PhD,Self-Employed
65,43.22407838925123,11,Bachelor,Unemployed
73,84.01215027412188,12,High School,Employed
65,39.21512114451966,11,Master,Employed
51,17.94973234238334,11,Master,Unemployed
98,75.36988340505192,9,Bachelor,Employed
77,78.88069818707443,12,PhD,Self-Employed
81,17.37534753075668,6,PhD,Self-Employed
76,77.08541085409898,13,PhD,Unemployed
69,94.7297888256338,1,PhD,Employed
73,16.637758693227234,1,PhD,Employed
61,77.09842925321355,6,Bachelor,Self-Employed
99,70.85720046026293,4,Master,Unemployed
84,47.35738884350885,4,Master,Employed
82,5.79204605587983,11,Bachelor,Unemployed
82,7.469441775785402,6,PhD,Employed
100,85.24146591986477,14,Bachelor,Self-Employed
92,99.0148372750647,12,Master,Self-Employed
86,67.60522571867544,11,High School,Unemployed
61,44.59583070103215,7,Bachelor,Self-Employed
52,64.75736434019076,9,PhD,Employed
50,59.43958592285453,10,Master,Self-Employed
82,38.36122604056218,5,Master,Unemployed
89,6.562614457401295,9,Master,Unemployed
59,82.15129474074409,4,Master,Unemployed
92,37.18335292387246,13,PhD,Employed
93,81.87856433570937,10,High School,Employed
78,25.25087496883822,2,Master,Employed
62,0.10294798456333965,3,Bachelor,Employed
61,15.893828327675653,13,High School,Employed
80,46.85394167685843,11,Master,Self-Employed
95,94.43036349578298,1,High School,Employed
51,10.2193619693719,14,Bachelor,Employed
100,85.4209774461566,14,Master,Self-Employed
99,52.702409621186206,6,Bachelor,Employed
84,82.59207657998967,13,PhD,Unemployed
72,29.837443098999263,6,Master,Employed
66,83.99471646724719,1,Master,Employed
75,77.28227800168045,11,Master,Unemployed
57,23.005368303143392,13,Master,Unemployed
78,13.133512640937806,3,PhD,Unemployed
75,86.80543225322928,5,Master,Unemployed
59,96.3236653440132,3,High School,Employed
75,3.130231374751624,10,Master,Unemployed
83,73.12700669736856,3,PhD,Unemployed
100,90.95245109478184,14,Master,Self-Employed
90,85.73600920924986,10,High School,Unemployed
56,96.45204722702086,3,PhD,Unemployed
53,76.00940784380971,5,PhD,Self-Employed
99,44.22987623809102,13,High School,Self-Employed
94,31.195199049513043,5,High School,Employed
60,32.07427404381274,4,High School,Self-Employed
78,72.4422672614117,1,High School,Employed
85,74.58370120309642,5,High School,Self-Employed
74,20.035914354871267,10,PhD,Self-Employed
70,86.8122813490531,5,PhD,Employed
85,71.49240402022477,4,Master,Self-Employed
59,56.27502863433826,6,Master,Employed
86,47.15324601025127,10,Bachelor,Self-Employed
58,54.32328057899581,4,Master,Unemployed
73,15.924573827926448,14,Master,Self-Employed
84,20.37012492762742,7,High School,Employed
98,9.116449040619168,7,High School,Self-Employed
84,15.365803816111267,2,Master,Employed
97,45.36936346052827,3,Bachelor,Employed
85,53.03543937282561,1,High School,Unemployed
67,1.7861892478319374,8,Master,Unemployed
98,79.67978278640275,9,Master,Employed
88,29.416797334347788,4,PhD,Self-Employed
81,91.18360349599111,6,Bachelor,Employed
73,96.75112636137777,9,PhD,Employed
72,18.545887467665434,6,Bachelor,Self-Employed
81,46.20972907656606,14,High School,Self-Employed
86,0.12318351664258875,12,Bachelor,Self-Employed
61,59.832726512242694,12,Master,Self-Employed
98,60.730644826267124,12,Master,Employed
62,24.753995560337515,9,Bachelor,Employed
72,55.841267258319796,4,Bachelor,Unemployed
74,22.554014244373544,8,Bachelor,Employed
84,16.082546907819008,9,PhD,Self-Employed
90,65.15194668022647,4,Bachelor,Unemployed
79,32.59254639520749,5,High School,Self-Employed
66,59.02639388856225,14,PhD,Employed
98,43.32467489716556,8,PhD,Unemployed
69,98.4351407402904,12,Bachelor,Self-Employed
97,14.958064266756576,10,High School,Unemployed
74,46.459859663581014,14,PhD,Unemployed
71,68.04566263593253,6,Master,Employed
62,39.55450838799687,12,PhD,Self-Employed
68,97.46998518706899,7,Bachelor,Unemployed
98,72.18876279269351,3,High School,Unemployed
85,65.69838575644931,7,Bachelor,Self-Employed
61,75.70592676112233,12,Master,Unemployed
90,95.2648638038717,14,Master,Unemployed
68,90.78186529846401,8,Master,Unemployed
61,72.42853081264118,10,Bachelor,Self-Employed
58,74.9161639101283,6,PhD,Self-Employed
56,14.592207403514546,10,Bachelor,Self-Employed
77,10.279240449266569,9,High School,Self-Employed
63,57.09045018441643,13,PhD,Employed
80,1.836763694054,6,Master,Unemployed
68,48.23563815515916,12,Bachelor,Self-Employed
96,21.03495799188686,9,Master,Unemployed
65,34.601656764483955,13,Master,Unemployed
54,77.5804735792956,4,High School,Employed
84,94.12375042323865,8,PhD,Self-Employed
61,7.24162721463415,11,High School,Self-Employed
74,53.42422059764451,4,High School,Unemployed
70,88.25334858196,2,High School,Self-Employed
85,8.250853444042129,10,Master,Unemployed
72,82.45140468968339,11,High School,Unemployed
65,35.78013509282714,9,High School,Employed
88,32.209470221933536,5,PhD,Employed
94,97.74663863147858,4,PhD,Employed
91,20.085908986229416,2,High School,Unemployed
